,name,glass,instructions,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measuremnt_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,image_url
236,Sherry Flip,Nick and Nora Glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,,1 1/2 oz cream ,2 tsp ,1 tsp ,1 whole ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg
237,Sidecar,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,Cognac,Cointreau,Lemon juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg
238,Sidecar Cocktail,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Brandy,Triple sec,Lemon,,,,,,,,,,,,,1 oz ,1/2 oz ,Juice of 1/4 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg
239,Singapore Sling,Hurricane glass,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,Cherry brandy,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,,,,,,,1/2 oz ,1/2 oz ,1 oz ,2 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/7dozeg1582578095.jpg
240,Sloe Gin Cocktail,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sloe gin,Dry Vermouth,Orange bitters,,,,,,,,,,,,,2 oz ,1/4 tsp ,1 dash ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg
241,Snowball,Highball glass,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,Advocaat,Lemonade,Lemon,Ice,,,,,,,,,,,,1 1/2 oz ,8-10 oz cold ,1 slice ,cubes,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg
242,Sol Y Sombra,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",Brandy,Anisette,,,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg
243,Space Odyssey,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,,,,,,,1 shot Bacardi ,1 shot ,1 shot ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg
244,Spritz,Old-Fashioned glass,"Build into glass over ice, garnish and serve.",Prosecco,Campari,Soda Water,,,,,,,,,,,,,6 cl,4 cl,splash,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg
245,Stinger,Cocktail glass,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",Brandy,White Creme de Menthe,,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg
246,Stone Sour,Whiskey sour glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",Apricot brandy,Orange juice,Sweet and sour,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg
247,Strawberry Daiquiri,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Strawberry schnapps,Light rum,Lime juice,Powdered sugar,Strawberries,,,,,,,,,,,1/2 oz ,1 oz ,1 oz ,1 tsp ,1 oz ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg
248,Strawberry Margarita,Cocktail glass,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",Strawberry schnapps,Tequila,Triple sec,Lemon juice,Strawberries,Salt,,,,,,,,,,1/2 oz ,1 oz ,1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg
249,Surf City Lifesaver,Highball glass,Lots of ice and soda top up in tall glass with cherry and a grin.,Ouzo,Baileys irish cream,Gin,Grand Marnier,,,,,,,,,,,,1 part ,1 part ,2 parts ,1/2 part ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg
250,Tequila Fizz,Collins glass,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",Tequila,Lemon juice,Grenadine,Egg white,Ginger ale,,,,,,,,,,,2 oz ,1 tblsp ,3/4 oz ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg
251,Tequila Sour,Whiskey sour glass,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",Tequila,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1/2 slice ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg
252,Thriller,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Scotch,Wine,Orange juice,,,,,,,,,,,,,1 1/2 oz ,1 oz Green Ginger ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg
253,Tom Collins,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",Gin,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1 tsp superfine ,3 oz ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg
254,Tommy's Margarita,Old-Fashioned glass,Shake and strain into a chilled cocktail glass.,Tequila,Lime Juice,Agave syrup,,,,,,,,,,,,,4.5 cl,1.5 cl,2 spoons,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg
255,Turf Cocktail,Cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,Dry Vermouth,Gin,Anis,Bitters,Orange peel,,,,,,,,,,,1 oz ,1 oz ,1/4 tsp ,2 dashes ,Twist of ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg
256,Tuxedo Cocktail,Cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,Dry Vermouth,Gin,Maraschino liqueur,Anis,Orange bitters,Cherry,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg
257,Valencia Cocktail,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Apricot brandy,Orange juice,Orange bitters,,,,,,,,,,,,,1 1/2 oz ,1 tblsp ,2 dashes ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg
258,Vampiro,Old-Fashioned glass,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",Tequila,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,,,,,,,6 cl,3 cl,3 cl,1.5 cl,1 dash,1 pinch,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg
259,Van Vleet,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",Light rum,Maple syrup,Lemon juice,,,,,,,,,,,,,3 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg
260,Vermouth Cassis,Highball glass,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",Dry Vermouth,Creme de Cassis,Carbonated water,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg
261,Vesuvio,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",Light rum,Sweet Vermouth,Lemon,Powdered sugar,Egg white,,,,,,,,,,,1 oz ,1/2 oz ,Juice of 1/2 ,1 tsp ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg
262,Veteran,Old-fashioned glass,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,Dark rum,Cherry brandy,,,,,,,,,,,,,,2 oz ,1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg
263,Victor,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Gin,Sweet Vermouth,Brandy,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg
264,Victory Collins,Collins glass,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,Vodka,Lemon juice,Grape juice,Powdered sugar,Orange,,,,,,,,,,,1 1/2 oz ,3 oz ,3 oz unsweetened ,1 tsp ,1 slice ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/lx0lvs1492976619.jpg
265,Vodka And Tonic,Highball glass,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",Vodka,Tonic water,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg
266,Vodka Martini,Cocktail glass,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",Vodka,Dry Vermouth,Olive,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg
267,Vodka Russian,Collins Glass,Mix it as a ordinary drink .,Vodka,Schweppes Russchian,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rpttur1454515129.jpg
268,Waikiki Beachcomber,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Triple sec,Gin,Pineapple juice,,,,,,,,,,,,,3/4 oz ,3/4 oz ,1 tblsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg
269,Whiskey Sour,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",Blended whiskey,Lemon,Powdered sugar,Cherry,Lemon,,,,,,,,,,,2 oz ,Juice of 1/2 ,1/2 tsp ,1 ,1/2 slice ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg
270,Whisky Mac,Collins Glass,Pour both of the ingredients into a wine goblet with no ice.,Scotch,Wine,,,,,,,,,,,,,,1 1/2 oz ,1 oz Green Ginger ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yvvwys1461867858.jpg
271,White Lady,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,Gin,Triple Sec,Lemon Juice,,,,,,,,,,,,,4cl,3cl,2cl,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jofsaz1504352991.jpg
272,White Russian,Old-fashioned glass,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,Vodka,Coffee liqueur,Light cream,,,,,,,,,,,,,2 oz ,1 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vsrupw1472405732.jpg
273,Zenmeister,Collins Glass,Mix together and enjoy,Jägermeister,Root beer,,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qyuvsu1479209462.jpg
274,Ziemes Martini Apfelsaft,Collins Glass,Serve without ice. At least the juice shold have room temperature.,Vermouth,Apple juice,,,,,,,,,,,,,,4 cl ,16 cl ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xnzr2p1485619687.jpg
275,Zima Blaster,Hurricane glass,"Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy.",Zima,Chambord raspberry liqueur,,,,,,,,,,,,,,12 oz ,3 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/1wifuv1485619797.jpg
276,'57 Chevy with a White License Plate,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Creme de Cacao,Vodka,,,,,,,,,,,,,,1 oz white ,1 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg
277,155 Belmont,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg
278,747 Drink,Highball glass,"Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",Vodka,Roses sweetened lime juice,Cranberry Juice,Sprite,,,,,,,,,,,,1 oz,1 oz,1 oz,Top,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg
279,9 1/2 Weeks,Cocktail glass,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,,,,,,,2 oz ,1/2 oz ,1 splash ,1 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg
280,A Gilligan's Island,Collins glass,"Shaken, not stirred!",Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,,1 oz ,1 oz ,3 oz ,3 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg
281,A True Amaretto Sour,Old-fashioned glass,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,,,,,,1 jigger ,Juice of 1/2 ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg
282,A.D.M. (After Dinner Mint),Irish coffee cup,shake vigorously,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,,,,1/2 oz ,3/4 oz ,1/2 oz ,Fill with ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg
283,A1,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg
284,Abbey Martini,Cocktail glass,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,,,,,,2 shots ,1 shot ,1 shot ,3 dashes ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg
285,Absolut Summertime,Collins glass,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1/2 oz ,3 oz ,1 slice ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg
286,Absolutely Fabulous,Champagne flute,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,Vodka,Cranberry Juice,Champagne,,,,,,,,,,,,,1 shot ,2 shots ,Top up with,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg
287,Absolutly Screwed Up,Collins glass,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,Fill to top ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg
288,Ace,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg
289,Adam & Eve,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1/8 shot ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg
290,Addington,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,,,,2 shots ,1 shot ,"Top up with
",,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg
291,Addison,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg
292,Addison Special,Old-fashioned glass,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,Vodka,Grenadine,Orange juice,,,,,,,,,,,,,1 shot ,1 tblsp ,Fill with ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg
293,Adios Amigos Cocktail,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,,,,,,,1 shot ,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg
294,Afterglow,Highball Glass,Mix. Serve over ice.,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg
295,Alice Cocktail,Cocktail glass,"Shake well, strain into a large cocktail glass.",Grenadine,Orange juice,Pineapple juice,Cream,,,,,,,,,,,,1 cl ,1 cl ,2 cl ,4 cl ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg
296,Amaretto fizz,Collins glass,"Mix Amaretto, orange juice and sparkling wine in a jug. Add a strip orange zest to each glass, if you like.",Amaretto,Orange Juice,White Wine,Orange Peel,,,,,,,,,,,,4 cl,6 cl,15 cl,Garnish with,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/92h3jz1582474310.jpg
297,Aperol Spritz,Wine Glass,"Put a couple of cubes of ice into 2 glasses and add a 50 ml measure of Aperol to each. Divide the prosecco between the glasses and then top up with soda, if you like.",Aperol,Prosecco,Soda Water,,,,,,,,,,,,,100 ml,150 ml,Top,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/iloasq1587661955.jpg
298,Apple Karate,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Apple juice,Carrot,,,,,,,,,,,,,,2 cups ,1 large ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg
299,Applejack,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,,,,,,,1 oz ,1/2 oz ,2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg
300,Aquamarine,Martini Glass,"Shake well in a shaker with ice.
Strain in a martini glass.",Hpnotiq,Pineapple Juice,Banana Liqueur,,,,,,,,,,,,,2 oz,1 oz,1 oz,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/zvsre31572902738.jpg
301,Arizona Stingers,Hurricane glass,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,Absolut Vodka,Iced tea,,,,,,,,,,,,,,2 shots ,12 oz lemon ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg
302,Arizona Twister,Hurricane glass,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple,,,,,,,1 shot ,1 shot ,1 shot ,1 splash ,1 splash ,1 splash ,1 dash ,crushed ,1 wedge ,,,,,,,https://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg
303,Army special,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg
304,Aviation,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg
305,Bahama Mama,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",Rum,Dark Rum,Banana liqueur,Grenadine,Pineapple Juice,Orange Juice,Sweet and Sour,,,,,,,,,3 parts,1 part,1 part,1 part,2 parts,2 parts,1 part,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg
306,Banana Cream Pi,,Serve over ice.,Malibu Rum,Banana Liqueur,Pineapple Juice,,,,,,,,,,,,,1 oz,1 oz,Top,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/m5p67n1582474609.jpg
307,Bee's Knees,Martini Glass,"Shake ingredients with crushed ice
Garnish with orange peel
",Gold rum,Orange Juice,Lime Juice,Triple Sec,,,,,,,,,,,,6 cl,2 cl,2 cl,2 jiggers,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tx8ne41582475326.jpg
308,Bijou,Cocktail glass,"Stir in mixing glass with ice and strain
",Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,,,,,,1 dash,1 oz,1 oz,1 oz,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg
309,Blue Hurricane,Highball glass,"If each part is 1/2 oz then use about 2.5 cups of ice.

Blend it all together. 
Drink it with a big straw if you have one.

",Rum,Dark Rum,Passoa,Blue Curacao,Sweet and Sour,Ice,,,,,,,,,,4 parts,2 parts,1 part,1 part,6 parts,cubes,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/nwx02s1515795822.jpg
310,Blueberry Mojito,Highball glass,Muddle the blueberries with the other ingredients and serve in a highball glass. Garnish with mint and a half slice of lime.,Dark Rum,Lime Juice,Sugar,Blueberries,Lemon-lime soda,,,,,,,,,,,2 shots,1 shot,Dash,Whole,Top,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/07iep51598719977.jpg
311,Bombay Cassis,Balloon Glass,"Add the Bombay Sapphire, Crème de Cassis and lime juice to a balloon glass and swirl well to mix.
Fill the glass with good quality cubed ice.
Top up with chilled and freshly opened Fever-Tree Ginger Beer.
Gently stir to combine, top with a gently squeezed lime wedge and finish with a fresh ginger slice.",Gin,Creme de Cassis,Fresh Lime Juice,Ginger beer,Lime,Ginger,,,,,,,,,,50 ml,20 ml,15 ml,75 ml,1,1 long strip,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/h1e0e51510136907.jpg
312,Bora Bora,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,,,,,,10 cl ,6 cl ,1 cl ,1 cl ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg
313,Boulevardier,Martini Glass,"Stir with ice, strain, garnish and serve.",Campari,Sweet Vermouth,Rye whiskey,Orange Peel,,,,,,,,,,,,1 oz,1 oz,1 1/4 oz,1,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/km84qi1513705868.jpg
314,Bounty Hunter,Margarita glass,"Add the spirits into a shaker as well as the pineapple juice, strain into a Margarita glass. Top with Prosecco and garnish with Blueberries.",Rum,Coconut Liqueur,Blueberries,Pineapple Juice,Prosecco,,,,,,,,,,,1 shot,1 shot,Garnish with,Dash,Top,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/t8bgxl1596018175.jpg
315,Brigadier,Coupe Glass,Mix ingredients in a warmed mug and stir.,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,,,,,,,,,,4 oz,1 oz,1 oz,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg
316,Broadside,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",151 proof rum,Scotch,Bitters,Wormwood,Ice,,,,,,,,,,,1 shot,1/2 shot,3 drops,1 Fresh,cubes,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg
